good_model,condition_group,arm,n,inclusion_rate,mean_first_round_conditional,median_first_round_conditional
gpt-4o-mini,solo,0,79,1.0,1.0,1.0
gpt-4o-mini,solo,1,79,0.34177215189873417,2.7037037037037037,2.0
gpt-4o-mini,solo,2,79,0.27848101265822783,4.136363636363637,3.5
gpt-4o-mini,solo,3,79,0.21518987341772153,6.823529411764706,6.0
gpt-4o-mini,advised,0,597,1.0,1.001675041876047,1.0
gpt-4o-mini,advised,1,597,0.34003350083752093,2.541871921182266,2.0
gpt-4o-mini,advised,2,597,0.20938023450586266,3.392,3.0
gpt-4o-mini,advised,3,597,0.15912897822445563,4.252631578947368,4.0
gpt-4.1,solo,0,186,1.0,1.0,1.0
gpt-4.1,solo,1,186,1.0,2.0,2.0
gpt-4.1,solo,2,186,1.0,3.0,3.0
gpt-4.1,solo,3,186,1.0,4.0,4.0
gpt-4.1,advised,0,669,1.0,1.0,1.0
gpt-4.1,advised,1,669,0.9088191330343797,2.1726973684210527,2.0
gpt-4.1,advised,2,669,0.750373692077728,3.1155378486055776,3.0
gpt-4.1,advised,3,669,0.6980568011958147,4.044967880085653,4.0
gpt-5.1,solo,0,195,0.9230769230769231,1.2,1.0
gpt-5.1,solo,1,195,0.6512820512820513,2.047244094488189,2.0
gpt-5.1,solo,2,195,0.6666666666666666,2.8230769230769233,3.0
gpt-5.1,solo,3,195,0.5487179487179488,4.299065420560748,4.0
gpt-5.1,advised,0,687,0.992721979621543,1.1656891495601174,1.0
gpt-5.1,advised,1,687,0.87627365356623,2.3006644518272426,2.0
gpt-5.1,advised,2,687,0.7671033478893741,2.9734345351043645,3.0
gpt-5.1,advised,3,687,0.6521106259097526,4.399553571428571,4.0
gpt-5.4,solo,0,199,1.0,1.0,1.0
gpt-5.4,solo,1,199,0.3969849246231156,2.151898734177215,2.0
gpt-5.4,solo,2,199,0.3969849246231156,3.2278481012658227,3.0
gpt-5.4,solo,3,199,0.3969849246231156,4.3164556962025316,4.0
gpt-5.4,advised,0,792,1.0,1.0,1.0
gpt-5.4,advised,1,792,0.9053030303030303,2.276150627615063,2.0
gpt-5.4,advised,2,792,0.8699494949494949,3.541364296081277,3.0
gpt-5.4,advised,3,792,0.8573232323232324,4.7098674521354935,4.0
