good_model,bad_model,n,mean_total_score,discover_rate,abandon_rate_conditional,mean_final_optimal_share,mean_final_safe_share,never_discovered_rate,discovered_retained_rate,discovered_then_abandoned_rate,solo_score,solo_discover_rate,solo_abandon_rate,MIR,delta_discover_rate,delta_abandon_rate
gpt-4o-mini,gpt-4o-mini,91,242.26373626373626,0.01098901098901099,1.0,0.0,0.9912087912087911,0.989010989010989,0.0,0.01098901098901099,287.78723404255317,0.2127659574468085,0.6,45.5234977788169,0.20177694645779753,0.4
gpt-4o-mini,gpt-4.1,149,240.8993288590604,0.006711409395973154,1.0,0.0,1.0,0.9932885906040269,0.0,0.006711409395973154,287.78723404255317,0.2127659574468085,0.6,46.88790518349276,0.20605454805083537,0.4
gpt-4o-mini,gpt-5.1,184,312.3478260869565,0.5,0.782608695652174,0.10543478260869564,0.7619565217391304,0.5,0.10869565217391304,0.391304347826087,287.78723404255317,0.2127659574468085,0.6,-24.560592044403336,-0.2872340425531915,0.18260869565217397
gpt-4o-mini,gpt-5.4,173,241.3757225433526,0.005780346820809248,1.0,0.0,0.9959537572254336,0.9942196531791907,0.0,0.005780346820809248,287.78723404255317,0.2127659574468085,0.6,46.41151149920057,0.20698561062599927,0.4
gpt-4.1,gpt-4o-mini,90,300.93333333333334,1.0,0.9444444444444444,0.06333333333333334,0.9200000000000002,0.0,0.05555555555555555,0.9444444444444444,517.010752688172,1.0,0.34946236559139787,216.0774193548387,0.0,0.5949820788530465
gpt-4.1,gpt-4.1,187,298.2994652406417,0.9893048128342246,0.9945945945945946,0.0074866310160427805,0.9802139037433155,0.0106951871657754,0.0053475935828877,0.983957219251337,517.010752688172,1.0,0.34946236559139787,218.7112874475303,0.010695187165775444,0.6451322290031968
gpt-4.1,gpt-5.1,196,325.8775510204082,0.5816326530612245,0.7719298245614035,0.1306122448979592,0.7290816326530613,0.41836734693877553,0.1326530612244898,0.4489795918367347,517.010752688172,1.0,0.34946236559139787,191.13320166776384,0.41836734693877553,0.4224674589700056
gpt-4.1,gpt-5.4,196,254.0408163265306,0.3979591836734694,1.0,0.0,0.9908163265306121,0.6020408163265306,0.0,0.3979591836734694,517.010752688172,1.0,0.34946236559139787,262.96993636164143,0.6020408163265306,0.6505376344086021
gpt-5.1,gpt-4o-mini,144,467.4166666666667,0.8125,0.4358974358974359,0.4583333333333333,0.20833333333333334,0.1875,0.4583333333333333,0.3541666666666667,425.28205128205127,0.5487179487179488,0.32710280373831774,-42.134615384615415,-0.26378205128205123,0.10879463215911817
gpt-5.1,gpt-4.1,154,427.23376623376623,0.8506493506493507,0.5343511450381679,0.401948051948052,0.38376623376623376,0.14935064935064934,0.3961038961038961,0.45454545454545453,425.28205128205127,0.5487179487179488,0.32710280373831774,-1.951714951714962,-0.3019314019314019,0.2072483412998502
gpt-5.1,gpt-5.1,193,329.4922279792746,0.6839378238341969,0.8181818181818182,0.12124352331606217,0.6823834196891191,0.3160621761658031,0.12435233160621761,0.5595854922279793,425.28205128205127,0.5487179487179488,0.32710280373831774,95.78982330277665,-0.1352198751162481,0.4910790144435005
gpt-5.1,gpt-5.4,196,278.0408163265306,0.3469387755102041,0.8823529411764706,0.04081632653061224,0.9173469387755102,0.6530612244897959,0.04081632653061224,0.30612244897959184,425.28205128205127,0.5487179487179488,0.32710280373831774,147.24123495552067,0.2017791732077447,0.5552501374381529
gpt-5.4,gpt-4o-mini,199,493.678391959799,0.9698492462311558,0.41450777202072536,0.5587939698492461,0.13517587939698492,0.03015075376884422,0.5678391959798995,0.4020100502512563,349.1256281407035,0.3969849246231156,0.31645569620253167,-144.5527638190955,-0.5728643216080402,0.0980520758181937
gpt-5.4,gpt-4.1,198,475.90909090909093,0.9292929292929293,0.44021739130434784,0.5010101010101009,0.20252525252525252,0.0707070707070707,0.5202020202020202,0.4090909090909091,349.1256281407035,0.3969849246231156,0.31645569620253167,-126.78346276838744,-0.5323080046698137,0.12376169510181617
gpt-5.4,gpt-5.1,197,426.8527918781726,0.8477157360406091,0.6107784431137725,0.3350253807106599,0.3913705583756345,0.15228426395939088,0.3299492385786802,0.5177664974619289,349.1256281407035,0.3969849246231156,0.31645569620253167,-77.72716373746908,-0.45073081141749355,0.29432274691124083
gpt-5.4,gpt-5.4,198,381.2020202020202,0.6818181818181818,0.6370370370370371,0.25757575757575757,0.545959595959596,0.3181818181818182,0.2474747474747475,0.43434343434343436,349.1256281407035,0.3969849246231156,0.31645569620253167,-32.07639206131671,-0.2848332571950662,0.3205813408345054
