good_model,bad_model,n,solo_score,mean_total_score,MIR,solo_discover_rate,discover_rate,delta_discover_rate,solo_abandon_rate,abandon_rate_conditional,delta_abandon_rate
gpt-4.1,gpt-4.1,200,512.33,305.78,206.55000000000007,1.0,0.99,0.010000000000000009,0.345,0.98989898989899,0.64489898989899
gpt-4.1,gpt-4o-mini,200,512.33,355.33,157.00000000000006,1.0,1.0,0.0,0.345,0.81,0.4650000000000001
gpt-4.1,gpt-5.1,200,512.33,325.38,186.95000000000005,1.0,0.58,0.42000000000000004,0.345,0.7758620689655172,0.43086206896551726
gpt-4.1,gpt-5.4,200,512.33,253.37,258.96000000000004,1.0,0.4,0.6,0.345,1.0,0.655
gpt-4o-mini,gpt-4.1,200,354.25130890052355,239.37,114.88130890052355,0.6361256544502618,0.03,0.6061256544502618,0.2674897119341564,0.8333333333333334,0.565843621399177
gpt-4o-mini,gpt-4o-mini,200,354.25130890052355,246.17,108.08130890052357,0.6361256544502618,0.11,0.5261256544502618,0.2674897119341564,0.5909090909090909,0.32341937897493456
gpt-4o-mini,gpt-5.1,200,354.25130890052355,308.6,45.65130890052353,0.6361256544502618,0.49,0.14612565445026182,0.2674897119341564,0.7857142857142857,0.5182245737801293
gpt-4o-mini,gpt-5.4,200,354.25130890052355,238.48,115.77130890052356,0.6361256544502618,0.005,0.6311256544502618,0.2674897119341564,1.0,0.7325102880658436
gpt-5.1,gpt-4.1,200,426.22,442.07,-15.849999999999966,0.56,0.865,-0.30499999999999994,0.3482142857142857,0.4971098265895953,0.1488955408753096
gpt-5.1,gpt-4o-mini,200,426.22,467.81,-41.589999999999975,0.56,0.84,-0.2799999999999999,0.3482142857142857,0.4285714285714285,0.0803571428571428
gpt-5.1,gpt-5.1,200,426.22,332.0,94.22000000000003,0.56,0.69,-0.1299999999999999,0.3482142857142857,0.8115942028985508,0.4633799171842651
gpt-5.1,gpt-5.4,200,426.22,281.09,145.13000000000005,0.56,0.355,0.20500000000000007,0.3482142857142857,0.8732394366197183,0.5250251509054326
gpt-5.4,gpt-4.1,200,348.1,472.36,-124.25999999999999,0.395,0.93,-0.535,0.3164556962025316,0.4462365591397849,0.12978086293725327
gpt-5.4,gpt-4o-mini,200,348.1,493.51,-145.40999999999997,0.395,0.97,-0.575,0.3164556962025316,0.4175257731958763,0.10107007699334469
gpt-5.4,gpt-5.1,200,348.1,425.79,-77.69,0.395,0.845,-0.44999999999999996,0.3164556962025316,0.6094674556213018,0.29301175941877017
gpt-5.4,gpt-5.4,200,348.1,379.96,-31.859999999999957,0.395,0.68,-0.28500000000000003,0.3164556962025316,0.6397058823529411,0.3232501861504095
