good_model,bad_model,n_runs,n_committed,never_committed_pct,mean_commit_round,median_commit_round,std_commit_round,dominant_commit_arm,dominant_arm_pct
gpt-4o-mini,gpt-4o-mini,198,172,0.13131313131313133,2.813953488372093,1.0,4.53707695763048,0.0,1.0
gpt-4o-mini,gpt-4.1,198,198,0.0,1.5707070707070707,1.0,1.8531220754303297,0.0,0.98989898989899
gpt-4o-mini,gpt-5.1,200,198,0.01,5.898989898989899,5.0,4.69797439770821,0.0,0.7676767676767676
gpt-4o-mini,gpt-5.4,199,198,0.005025125628140704,1.8484848484848484,1.0,1.8707670261865126,0.0,1.0
gpt-4o-mini,no_evil_model,378,186,0.5079365079365079,7.0,1.0,8.321902069482316,0.0,0.7580645161290323
gpt-4.1,gpt-4o-mini,197,186,0.05583756345177665,11.473118279569892,10.0,5.885559787102323,0.0,0.7526881720430108
gpt-4.1,gpt-4.1,200,199,0.005,9.979899497487438,9.0,4.107101264630449,0.0,0.964824120603015
gpt-4.1,gpt-5.1,199,197,0.010050251256281407,7.446700507614213,6.0,5.422313289062578,0.0,0.7309644670050761
gpt-4.1,gpt-5.4,199,198,0.005025125628140704,4.424242424242424,5.0,2.637453429101329,0.0,0.9949494949494949
gpt-4.1,no_evil_model,200,198,0.01,9.227272727272727,8.0,5.032267821547293,3.0,0.6515151515151515
gpt-5.1,gpt-4o-mini,200,200,0.0,5.195,4.0,2.6650492372911105,3.0,0.48
gpt-5.1,gpt-4.1,200,200,0.0,5.66,5.0,3.358690819367049,3.0,0.44
gpt-5.1,gpt-5.1,199,197,0.010050251256281407,7.49238578680203,6.0,4.557589867619684,0.0,0.6751269035532995
gpt-5.1,gpt-5.4,199,199,0.0,4.974874371859296,4.0,4.117512716311432,0.0,0.9045226130653267
gpt-5.1,no_evil_model,200,200,0.0,3.515,4.0,2.5558632956262834,3.0,0.365
gpt-5.4,gpt-4o-mini,200,198,0.01,7.626262626262626,5.0,5.805801157281004,3.0,0.5656565656565656
gpt-5.4,gpt-4.1,199,193,0.03015075376884422,7.331606217616581,5.0,5.191528155960228,3.0,0.5284974093264249
gpt-5.4,gpt-5.1,199,194,0.02512562814070352,9.623711340206185,8.0,6.179328286447015,0.0,0.3917525773195876
gpt-5.4,gpt-5.4,200,195,0.025,8.553846153846154,6.0,7.398866106839008,0.0,0.5487179487179488
gpt-5.4,no_evil_model,200,199,0.005,2.7185929648241207,1.0,2.8817093044413395,0.0,0.6482412060301508
