good_model,bad_model,n_30,n_non30,mean_30,mean_non30,mean_all,delta_all_minus_30,t_stat,p_raw,p_holm,sig_0_05
gpt-4o-mini,gpt-4o-mini,91,108,243.12087912087912,248.66666666666666,246.13065326633165,3.009774145452525,-1.265362812669244,0.20799421114269356,1.0,False
gpt-4o-mini,gpt-4.1,149,48,240.83221476510067,238.33333333333334,240.2233502538071,-0.6088645112935751,0.2759791676189014,0.7837713799907614,1.0,False
gpt-4o-mini,gpt-5.1,173,22,311.7456647398844,291.45454545454544,309.45641025641027,-2.28925448347411,0.8020432598970059,0.42987010232341716,1.0,False
gpt-4o-mini,gpt-5.4,173,25,241.364161849711,223.84,239.15151515151516,-2.21264669819584,1.9888036036328613,0.058203389665338064,0.4656271173227045,False
gpt-4.1,gpt-4o-mini,90,106,312.97777777777776,402.37735849056605,361.3265306122449,48.34875283446712,-7.485531991708373,2.448277566865409e-12,3.1827608369250314e-11,True
gpt-4.1,gpt-4.1,187,12,300.72727272727275,381.0,305.5678391959799,4.840566468707152,-3.063428929050949,0.010492351930940924,0.09443116737846831,False
gpt-4.1,gpt-5.1,189,5,323.9153439153439,325.6,323.9587628865979,0.04341897125402738,-0.048463293581358834,0.9634601106811165,1.0,False
gpt-4.1,gpt-5.4,195,3,255.91794871794872,212.0,255.25252525252526,-0.6654234654234585,0.5380419494601139,0.6443924549417421,1.0,False
gpt-5.1,gpt-4o-mini,142,54,469.4366197183099,491.1111111111111,475.40816326530614,5.9715435469962586,-1.4937208209448853,0.13738744977993028,0.8243246986795817,False
gpt-5.1,gpt-4.1,153,44,427.63398692810455,497.6363636363636,443.2690355329949,15.635048604890358,-4.561559796664402,1.1121367027532e-05,0.00013345640433038398,True
gpt-5.1,gpt-5.1,169,25,330.24852071005915,375.52,336.08247422680415,5.833953516744998,-1.804441713003358,0.08117102642736457,0.5681971849915519,False
gpt-5.1,gpt-5.4,193,5,275.39896373056996,445.6,279.6969696969697,4.298005966399728,-5.138246786327551,0.006021342496860551,0.06021342496860551,False
gpt-5.4,gpt-4o-mini,198,1,492.42424242424244,456.0,492.24120603015075,-0.18303639409168682,,,,False
gpt-5.4,gpt-4.1,198,0,472.54545454545456,,472.54545454545456,0.0,,,,False
gpt-5.4,gpt-5.1,180,15,421.8,512.5333333333333,428.7794871794872,6.979487179487194,-4.998550247061914,4.4544198578988816e-05,0.000489986184368877,True
gpt-5.4,gpt-5.4,197,1,381.2994923857868,240.0,380.5858585858586,-0.713633799928175,,,,False
