good_model,bad_model,n,p10,p25,p50,p75,p90,mean
gpt-4o-mini,no_evil_model,79,240.0,240.0,240.0,246.0,458.8,288.8607594936709
gpt-4o-mini,gpt-4o-mini,91,238.0,240.0,240.0,240.0,240.0,242.26373626373626
gpt-4o-mini,gpt-4.1,149,240.0,240.0,240.0,240.0,240.0,240.8993288590604
gpt-4o-mini,gpt-5.1,184,238.0,240.0,252.0,337.5,522.8000000000001,312.3478260869565
gpt-4o-mini,gpt-5.4,173,240.0,240.0,240.0,240.0,240.0,241.3757225433526
gpt-4.1,no_evil_model,186,376.0,460.0,537.0,591.0,632.0,517.010752688172
gpt-4.1,gpt-4o-mini,90,228.0,248.0,268.0,302.0,420.20000000000005,300.93333333333334
gpt-4.1,gpt-4.1,187,246.0,262.0,282.0,313.0,372.0,298.2994652406417
gpt-4.1,gpt-5.1,196,238.0,240.0,271.0,382.0,512.0,325.8775510204082
gpt-4.1,gpt-5.4,196,238.0,240.0,248.0,264.5,284.0,254.0408163265306
gpt-5.1,no_evil_model,195,240.0,240.0,460.0,564.0,608.0,425.28205128205127
gpt-5.1,gpt-4o-mini,144,232.6,390.0,504.0,574.5,622.8000000000001,467.4166666666667
gpt-5.1,gpt-4.1,154,240.0,256.0,446.0,582.0,631.4000000000001,427.23376623376623
gpt-5.1,gpt-5.1,193,238.0,246.0,278.0,386.0,512.0,329.4922279792746
gpt-5.1,gpt-5.4,196,238.0,240.0,248.0,282.0,357.0,278.0408163265306
gpt-5.4,no_evil_model,199,240.0,240.0,240.0,516.0,588.0,349.1256281407035
gpt-5.4,gpt-4o-mini,199,257.6,439.0,524.0,575.0,622.4000000000001,493.678391959799
gpt-5.4,gpt-4.1,198,240.0,411.5,504.0,581.5,621.2,475.90909090909093
gpt-5.4,gpt-5.1,197,238.0,286.0,448.0,542.0,600.0,426.8527918781726
gpt-5.4,gpt-5.4,198,240.0,240.0,345.0,496.0,594.6,381.2020202020202
