good_model,bad_model,n_full_length_runs,full_slope,full_intercept,full_r2,post5_slope,post5_intercept,post5_r2,post10_slope,post10_intercept,post10_r2
gpt-4.1,gpt-4.1,187,9.606267213124502,21.362394738459646,0.9874130084464624,8.926488413547242,35.7317427670369,0.9950242297656255,8.409625668449197,47.38171632289289,0.9994523679053446
gpt-4.1,gpt-4o-mini,90,9.856680262019525,12.679233716475093,0.995626552884108,9.445515669515675,21.361595441595448,0.9986219993475131,9.15119769119769,28.00567580567589,0.9998268999553008
gpt-4.1,gpt-5.1,196,10.781342080770013,5.403823598404881,0.9986643119003151,10.533636839351129,10.637414965986371,0.9995741316510266,10.358481314603763,14.584503931442695,0.9999385521120701
gpt-4.1,gpt-5.4,196,8.247653855758093,8.291977480647423,0.9988436454097315,8.069405197976632,12.038548752834478,0.999982416623679,8.054532202491385,12.365138263097519,0.9999989547577156
gpt-4.1,no_evil_model,186,17.793168036169213,-19.818835743418603,0.9995476128992442,18.021178200533047,-24.64150353827768,0.9998299027484061,18.164921100404968,-27.84988130149398,0.9999490747932045
gpt-4o-mini,gpt-4.1,149,8.009194406909986,0.7080459770114842,0.9999949756379053,7.999775139104001,0.9048127115241086,0.9999999648809925,8.0,0.8993288590604349,1.0
gpt-4o-mini,gpt-4o-mini,91,8.055084403916435,0.7740305671339911,0.9999892096078895,8.039988729219502,1.0905607213299653,0.9999990250947569,8.03753389467675,1.14675800390089,0.9999986704432318
gpt-4o-mini,gpt-5.1,184,10.401736228659859,2.7767116441779143,0.9995069744165405,10.251189149015241,5.953270159791889,0.9999326715578535,10.210347261434217,6.865000941087957,0.9999410521089666
gpt-4o-mini,gpt-5.4,173,8.034208851196253,0.5190884326622686,0.9999940651905099,8.02208191294897,0.774526950249491,0.9999986587510277,8.017295998798888,0.88116507769694,0.9999991222233445
gpt-4o-mini,no_evil_model,79,9.674406161557846,-1.5878946602648314,0.9998355437325733,9.629453640592885,-0.6254679216704506,0.9998241110972885,9.552424790399474,1.1118417447532325,0.9998369312375961
gpt-5.1,gpt-4.1,154,14.496008552070837,-5.850903119868677,0.9999106520810468,14.446708846708852,-4.791430791430758,0.9999374964480979,14.398245909934221,-3.7002305054252207,0.9999191997039673
gpt-5.1,gpt-4o-mini,144,15.907529971573345,-10.630140485312962,0.9998804138725028,15.906780626780632,-10.59301994301992,0.9998760631545177,15.842748917748919,-9.144660894660788,0.999802837419133
gpt-5.1,gpt-5.1,193,10.912380480326435,5.730641415043746,0.9989671925463316,10.688295469642627,10.461007041317929,0.9997464594782011,10.56510329049189,13.2397550635894,0.9998816318545183
gpt-5.1,gpt-5.4,196,9.078104923838275,8.922707013840007,0.9984261868976738,8.839801151229727,13.950654107796959,0.9997787784803919,8.739729658097005,16.20103366021739,0.9999795640933351
gpt-5.1,no_evil_model,195,14.414377228259315,-8.544556439728881,0.9999414237182647,14.435257506026742,-8.974008327854449,0.9999528231847218,14.492520812520812,-10.273371073370999,0.999947668081607
gpt-5.4,gpt-4.1,198,16.25475444096133,-9.57663996284687,0.9999060646288509,16.17629974963309,-7.896434429767729,0.9999701521020804,16.190581136035682,-8.237308146399016,0.9999568424474196
gpt-5.4,gpt-4o-mini,199,16.762231625312317,-11.007890024836831,0.9999127984501264,16.745409096765894,-10.644195335652558,0.999908104125565,16.864726228545322,-13.350997411298714,0.9999428245924817
gpt-5.4,gpt-5.1,197,14.622812713505695,-7.08879164478676,0.9996198449691004,14.531528482797524,-5.136969065903041,0.9995627635264643,14.2987012987013,0.14876832135729412,0.9997211154344885
gpt-5.4,gpt-5.4,198,13.044565791395597,-5.851039126901231,0.9996976724694221,12.968353621686962,-4.216196149529509,0.9996808444012772,12.827954873409418,-1.0290349381257446,0.9996498632707386
gpt-5.4,no_evil_model,199,11.876273469684348,-5.37704615029172,0.9998693718264342,11.843439419318821,-4.6668384658333775,0.9998619402261094,11.742034849572535,-2.3630707650806926,0.9998948685150848
