good_model,bad_model,trajectory,count
gpt-4.1,gpt-4.1,discovered_retained,2
gpt-4.1,gpt-4.1,discovered_then_abandoned,196
gpt-4.1,gpt-4.1,never_discovered,2
gpt-4.1,gpt-4o-mini,discovered_retained,38
gpt-4.1,gpt-4o-mini,discovered_then_abandoned,162
gpt-4.1,gpt-5.1,discovered_retained,26
gpt-4.1,gpt-5.1,discovered_then_abandoned,90
gpt-4.1,gpt-5.1,never_discovered,84
gpt-4.1,gpt-5.4,discovered_then_abandoned,80
gpt-4.1,gpt-5.4,never_discovered,120
gpt-4.1,no_evil_model,discovered_retained,131
gpt-4.1,no_evil_model,discovered_then_abandoned,69
gpt-4o-mini,gpt-4.1,discovered_retained,1
gpt-4o-mini,gpt-4.1,discovered_then_abandoned,5
gpt-4o-mini,gpt-4.1,never_discovered,194
gpt-4o-mini,gpt-4o-mini,discovered_retained,9
gpt-4o-mini,gpt-4o-mini,discovered_then_abandoned,13
gpt-4o-mini,gpt-4o-mini,never_discovered,178
gpt-4o-mini,gpt-5.1,discovered_retained,21
gpt-4o-mini,gpt-5.1,discovered_then_abandoned,77
gpt-4o-mini,gpt-5.1,never_discovered,102
gpt-4o-mini,gpt-5.4,discovered_then_abandoned,1
gpt-4o-mini,gpt-5.4,never_discovered,199
gpt-4o-mini,no_evil_model,discovered_retained,178
gpt-4o-mini,no_evil_model,discovered_then_abandoned,65
gpt-4o-mini,no_evil_model,never_discovered,139
gpt-5.1,gpt-4.1,discovered_retained,87
gpt-5.1,gpt-4.1,discovered_then_abandoned,86
gpt-5.1,gpt-4.1,never_discovered,27
gpt-5.1,gpt-4o-mini,discovered_retained,96
gpt-5.1,gpt-4o-mini,discovered_then_abandoned,72
gpt-5.1,gpt-4o-mini,never_discovered,32
gpt-5.1,gpt-5.1,discovered_retained,26
gpt-5.1,gpt-5.1,discovered_then_abandoned,112
gpt-5.1,gpt-5.1,never_discovered,62
gpt-5.1,gpt-5.4,discovered_retained,9
gpt-5.1,gpt-5.4,discovered_then_abandoned,62
gpt-5.1,gpt-5.4,never_discovered,129
gpt-5.1,no_evil_model,discovered_retained,73
gpt-5.1,no_evil_model,discovered_then_abandoned,39
gpt-5.1,no_evil_model,never_discovered,88
gpt-5.4,gpt-4.1,discovered_retained,103
gpt-5.4,gpt-4.1,discovered_then_abandoned,83
gpt-5.4,gpt-4.1,never_discovered,14
gpt-5.4,gpt-4o-mini,discovered_retained,113
gpt-5.4,gpt-4o-mini,discovered_then_abandoned,81
gpt-5.4,gpt-4o-mini,never_discovered,6
gpt-5.4,gpt-5.1,discovered_retained,66
gpt-5.4,gpt-5.1,discovered_then_abandoned,103
gpt-5.4,gpt-5.1,never_discovered,31
gpt-5.4,gpt-5.4,discovered_retained,49
gpt-5.4,gpt-5.4,discovered_then_abandoned,87
gpt-5.4,gpt-5.4,never_discovered,64
gpt-5.4,no_evil_model,discovered_retained,54
gpt-5.4,no_evil_model,discovered_then_abandoned,25
gpt-5.4,no_evil_model,never_discovered,121
