good_model,bad_model,pair_mean,pair_n,solo_mean,solo_n,delta_vs_solo,row_average,column_average,expected_from_row_column,unexpected_cell,metric
gpt-4.1,gpt-4.1,300.72727272727275,187,512.1720430107526,186,-211.4447702834799,-213.17435181306143,-33.038495715994074,-197.24798729936884,-14.196782984111053,expected_score
gpt-4.1,gpt-4o-mini,312.97777777777776,90,512.1720430107526,186,-199.19426523297489,-213.17435181306143,-14.462449475933141,-178.67194105930787,-20.522324173667016,expected_score
gpt-4.1,gpt-5.1,326.3673469387755,196,512.1720430107526,186,-185.80469607197716,-213.17435181306143,-43.61151079764494,-207.8210023810197,22.016306309042534,expected_score
gpt-4.1,gpt-5.4,255.91836734693877,196,512.1720430107526,186,-256.25367566381385,-213.17435181306143,-104.74698492917463,-268.9564765125494,12.702800848735535,expected_score
gpt-4o-mini,gpt-4.1,240.83221476510067,149,288.25531914893617,47,-47.42310438383549,-28.860787823709124,-33.038495715994074,-12.934423310016506,-34.48868107381899,expected_score
gpt-4o-mini,gpt-4o-mini,243.12087912087912,91,288.25531914893617,47,-45.13444002805704,-28.860787823709124,-14.462449475933141,5.641622930044427,-50.77606295810147,expected_score
gpt-4o-mini,gpt-5.1,312.2608695652174,184,288.25531914893617,47,24.00555041628121,-28.860787823709124,-43.61151079764494,-23.507438391667378,47.51298880794859,expected_score
gpt-4o-mini,gpt-5.4,241.364161849711,173,288.25531914893617,47,-46.89115729922517,-28.860787823709124,-104.74698492917463,-84.64291252319707,37.7517552239719,expected_score
gpt-5.1,gpt-4.1,428.5974025974026,154,424.8410256410256,195,3.7563769563769824,-47.83329848044872,-33.038495715994074,-31.9069339667561,35.66331092313308,expected_score
gpt-5.1,gpt-4o-mini,468.6666666666667,144,424.8410256410256,195,43.82564102564106,-47.83329848044872,-14.462449475933141,-13.330887726695167,57.15652875233623,expected_score
gpt-5.1,gpt-5.1,332.76683937823833,193,424.8410256410256,195,-92.0741862627873,-47.83329848044872,-43.61151079764494,-42.479949048406965,-49.59423721438033,expected_score
gpt-5.1,gpt-5.4,278.0,196,424.8410256410256,195,-146.84102564102562,-47.83329848044872,-104.74698492917463,-103.61542317993666,-43.22560246108897,expected_score
gpt-5.4,gpt-4.1,472.54545454545456,198,349.58793969849245,199,122.95751484696211,94.00899719847251,-33.038495715994074,109.93536171216513,13.02215313479698,expected_score
gpt-5.4,gpt-4o-mini,492.24120603015075,199,349.58793969849245,199,142.6532663316583,94.00899719847251,-14.462449475933141,128.51140795222608,14.141858379432222,expected_score
gpt-5.4,gpt-5.1,429.01522842639594,197,349.58793969849245,199,79.42728872790349,94.00899719847251,-43.61151079764494,99.36234663051427,-19.93505790261078,expected_score
gpt-5.4,gpt-5.4,380.5858585858586,198,349.58793969849245,199,30.997918887366154,94.00899719847251,-104.74698492917463,38.22687249898458,-7.228953611618422,expected_score
